Condition-Level Summary (35 Independent T-RH Conditions),,,,,,,,,
,,,,,,,,,
Temperature (°C),RH (%),Aw,Replicate 1,Replicate 2,Replicate 3,Mean WU,SD,Predicted WU,Mean residual
17,0,0.00,0.018000,0.037000,0.020000,0.025000,0.010440,0.036896,-0.011896
17,10,0.10,0.124000,0.123000,0.127000,0.124667,0.002082,0.082230,0.042437
17,25,0.25,0.240000,0.243000,0.249000,0.244000,0.004583,0.187097,0.056903
17,40,0.40,0.349000,0.353000,0.355000,0.352333,0.003055,0.321474,0.030860
17,50,0.50,0.411000,0.408000,0.418000,0.412333,0.005132,0.419269,-0.006936
17,60,0.60,0.496000,0.491000,0.499000,0.495333,0.004041,0.517904,-0.022571
17,70,0.70,0.528000,0.520000,0.534000,0.527333,0.007024,0.612470,-0.085136
23,0,0.00,0.012000,0.028000,0.034000,0.024667,0.011372,0.065862,-0.041195
23,10,0.10,0.151000,0.148000,0.152000,0.150333,0.002082,0.176782,-0.026448
23,25,0.25,0.332000,0.330000,0.339000,0.333667,0.004726,0.382361,-0.048694
23,40,0.40,0.551000,0.557000,0.550000,0.552667,0.003786,0.620249,-0.067583
23,50,0.50,0.804000,0.817000,0.808000,0.809667,0.006658,0.788607,0.021059
23,60,0.60,0.984000,0.987000,0.995000,0.988667,0.005686,0.959050,0.029617
23,70,0.70,1.242000,1.249000,1.257000,1.249333,0.007506,1.126666,0.122667
30,0,0.00,0.017000,0.019000,0.031000,0.022333,0.007572,0.014374,0.007960
30,10,0.10,0.208000,0.203000,0.214000,0.208333,0.005508,0.161371,0.046963
30,25,0.25,0.384000,0.380000,0.387000,0.383667,0.003512,0.423788,-0.040121
30,40,0.40,0.632000,0.638000,0.632000,0.634000,0.003464,0.721780,-0.087780
30,50,0.50,1.013000,1.040000,1.021000,1.024667,0.013868,0.932021,0.092645
30,60,0.60,1.153000,1.165000,1.150000,1.156000,0.007937,1.145799,0.010201
30,70,0.70,1.332000,1.345000,1.337000,1.338000,0.006557,1.358202,-0.020202
45,0,0.00,0.041000,0.027000,0.022000,0.030000,0.009849,-0.030483,0.060483
45,10,0.10,0.102000,0.100000,0.107000,0.103000,0.003606,0.047173,0.055827
45,25,0.25,0.261000,0.269000,0.258000,0.262667,0.005686,0.211410,0.051257
45,40,0.40,0.322000,0.327000,0.320000,0.323000,0.003606,0.418221,-0.095221
45,50,0.50,0.597000,0.607000,0.586000,0.596667,0.010504,0.571563,0.025103
45,60,0.60,0.734000,0.730000,0.741000,0.735000,0.005568,0.731552,0.003448
45,70,0.70,0.780000,0.787000,0.793000,0.786667,0.006506,0.893276,-0.106610
50,0,0.00,0.021000,0.015000,0.025000,0.020333,0.005033,0.083908,-0.063574
50,10,0.10,0.053000,0.050000,0.057000,0.053333,0.003512,0.094011,-0.040677
50,25,0.25,0.189000,0.197000,0.192000,0.192667,0.004041,0.158863,0.033804
50,40,0.40,0.269000,0.262000,0.265000,0.265333,0.003512,0.268621,-0.003287
50,50,0.50,0.313000,0.318000,0.324000,0.318333,0.005508,0.358557,-0.040224
50,60,0.60,0.551000,0.558000,0.544000,0.551000,0.007000,0.456177,0.094823
50,70,0.70,0.572000,0.587000,0.577000,0.578667,0.007638,0.556569,0.022097
