Temperature (¡C),RH (%),Aw,Replicate 1,Replicate 2,Replicate 3,Mean WU,SD,Predicted WU,Mean residual
17,0,0.00,0.000,0.000,0.000,0.000,0.000,0.021,-0.021
17,10,0.10,0.124,0.123,0.127,0.125,0.002,0.080,0.045
17,25,0.25,0.240,0.243,0.244,0.242,0.002,0.189,0.054
17,40,0.40,0.352,0.353,0.355,0.353,0.002,0.317,0.037
17,50,0.50,0.411,0.412,0.418,0.414,0.004,0.410,0.004
17,60,0.60,0.492,0.494,0.495,0.494,0.002,0.507,-0.014
17,70,0.70,0.521,0.523,0.524,0.523,0.002,0.608,-0.085
23,0,0.00,0.000,0.000,0.000,0.000,0.000,0.041,-0.041
23,10,0.10,0.151,0.150,0.152,0.151,0.001,0.165,-0.014
23,25,0.25,0.332,0.332,0.336,0.333,0.002,0.374,-0.041
23,40,0.40,0.451,0.452,0.454,0.452,0.002,0.605,-0.152
23,50,0.50,0.904,0.907,0.908,0.906,0.002,0.768,0.138
23,60,0.60,0.854,0.857,0.857,0.856,0.002,0.937,-0.081
23,70,0.70,1.242,1.244,1.247,1.244,0.003,1.109,0.135
30,0,0.00,0.000,0.000,0.000,0.000,0.000,-0.009,0.009
30,10,0.10,0.208,0.208,0.210,0.209,0.001,0.152,0.056
30,25,0.25,0.384,0.385,0.387,0.385,0.002,0.418,-0.033
30,40,0.40,0.602,0.604,0.605,0.604,0.002,0.709,-0.105
30,50,0.50,1.013,1.014,1.017,1.015,0.002,0.913,0.101
30,60,0.60,1.153,1.155,1.156,1.155,0.002,1.125,0.030
30,70,0.70,1.332,1.335,1.337,1.335,0.003,1.342,-0.007
45,0,0.00,0.000,0.000,0.000,0.000,0.000,-0.047,0.047
45,10,0.10,0.102,0.101,0.103,0.102,0.001,0.047,0.055
45,25,0.25,0.261,0.263,0.263,0.262,0.001,0.218,0.044
45,40,0.40,0.322,0.323,0.325,0.323,0.002,0.421,-0.097
45,50,0.50,0.597,0.599,0.600,0.599,0.002,0.570,0.029
45,60,0.60,0.734,0.737,0.737,0.736,0.002,0.729,0.007
45,70,0.70,0.780,0.782,0.783,0.782,0.002,0.896,-0.114
50,0,0.00,0.000,0.000,0.000,0.000,0.000,0.058,-0.058
50,10,0.10,0.053,0.052,0.054,0.053,0.001,0.086,-0.033
50,25,0.25,0.189,0.190,0.192,0.190,0.002,0.160,0.031
50,40,0.40,0.260,0.261,0.263,0.261,0.002,0.267,-0.005
50,50,0.50,0.313,0.318,0.319,0.317,0.003,0.354,-0.037
50,60,0.60,0.551,0.552,0.554,0.552,0.002,0.451,0.101
50,70,0.70,0.572,0.575,0.576,0.574,0.002,0.558,0.017
