Cubic Response-Surface Model Coefficients,,,,,
,,,,,
Term,Estimate,Standard error,t statistic,95% CI lower,95% CI upper
Intercept,-0.887333,0.211958,-4.186373,-1.308122,-0.466544
T,0.106840,0.020718,5.156805,0.065709,0.147970
Aw,-3.243661,0.393373,-8.245772,-4.024605,-2.462718
T^2,-0.003776,0.000651,-5.797789,-0.005069,-0.002483
Aw^2,1.093283,0.791590,1.381123,-0.478222,2.664787
T×Aw,0.286031,0.017770,16.095931,0.250752,0.321309
T^3,0.000041,0.000007,6.163970,0.000027,0.000054
Aw^3,-0.818358,0.667486,-1.226030,-2.143485,0.506769
T^2×Aw,-0.004444,0.000240,-18.503759,-0.004921,-0.003967
T×Aw^2,0.010368,0.009831,1.054669,-0.009148,0.029884
,,,,,
Model: WU = b0 + b1T + b2Aw + b3T² + b4Aw² + b5(TAw) + b6T³ + b7Aw³ + b8(T²Aw) + b9(TAw²),,,,,
