Term,Estimate,Standard error,t statistic,95% CI lower,95% CI upper
Intercept,-0.76933,0.25532,-3.0132,-1.27620,-0.26245
T,0.09241,0.02496,3.7026,0.04286,0.14195
Aw,-3.01948,0.47385,-6.3722,-3.96020,-2.07880
T?,-0.00331,0.00078,-4.2215,-0.00487,-0.00175
Aw?,0.46640,0.95354,0.4891,-1.42660,2.35940
T ? Aw,0.28345,0.02141,13.2420,0.24095,0.32595
T?,0.00004,0.00001,4.5287,0.00002,0.00005
Aw?,-0.26654,0.80405,-0.3315,-1.86280,1.32970
T? ? Aw,-0.00438,0.00029,-15.1550,-0.00496,-0.00381
T ? Aw?,0.00934,0.01184,0.7883,-0.01417,0.03284
