Temperature (¡C),RH (%),Water activity (Aw),Replicate,Observed WU (g/g),Condition mean WU (g/g),Predicted WU (g/g),Residual
17,0,0.00,1,0.000000,0.000000,0.020750,-0.020750
17,0,0.00,2,0.000000,0.000000,0.020750,-0.020750
17,0,0.00,3,0.000000,0.000000,0.020750,-0.020750
17,10,0.10,1,0.124000,0.124667,0.079941,0.044059
17,10,0.10,2,0.123000,0.124667,0.079941,0.043059
17,10,0.10,3,0.127000,0.124667,0.079941,0.047059
17,25,0.25,1,0.240000,0.242333,0.188669,0.051331
17,25,0.25,2,0.243000,0.242333,0.188669,0.054331
17,25,0.25,3,0.244000,0.242333,0.188669,0.055331
17,40,0.40,1,0.352000,0.353333,0.316531,0.035469
17,40,0.40,2,0.353000,0.353333,0.316531,0.036469
17,40,0.40,3,0.355000,0.353333,0.316531,0.038469
17,50,0.50,1,0.411000,0.413667,0.409737,0.001263
17,50,0.50,2,0.412000,0.413667,0.409737,0.002263
17,50,0.50,3,0.418000,0.413667,0.409737,0.008263
17,60,0.60,1,0.492000,0.493667,0.507448,-0.015448
17,60,0.60,2,0.494000,0.493667,0.507448,-0.013448
17,60,0.60,3,0.495000,0.493667,0.507448,-0.012448
17,70,0.70,1,0.521000,0.522667,0.608066,-0.087066
17,70,0.70,2,0.523000,0.522667,0.608066,-0.085066
17,70,0.70,3,0.524000,0.522667,0.608066,-0.084066
23,0,0.00,1,0.000000,0.000000,0.040676,-0.040676
23,0,0.00,2,0.000000,0.000000,0.040676,-0.040676
23,0,0.00,3,0.000000,0.000000,0.040676,-0.040676
23,10,0.10,1,0.151000,0.151000,0.165271,-0.014271
23,10,0.10,2,0.150000,0.151000,0.165271,-0.015271
23,10,0.10,3,0.152000,0.151000,0.165271,-0.013271
23,25,0.25,1,0.332000,0.333333,0.374205,-0.042205
23,25,0.25,2,0.332000,0.333333,0.374205,-0.042205
23,25,0.25,3,0.336000,0.333333,0.374205,-0.038205
23,40,0.40,1,0.451000,0.452333,0.604794,-0.153794
23,40,0.40,2,0.452000,0.452333,0.604794,-0.152794
23,40,0.40,3,0.454000,0.452333,0.604794,-0.150794
23,50,0.50,1,0.904000,0.906333,0.767884,0.136116
23,50,0.50,2,0.907000,0.906333,0.767884,0.139116
23,50,0.50,3,0.908000,0.906333,0.767884,0.140116
23,60,0.60,1,0.854000,0.856000,0.936600,-0.082600
23,60,0.60,2,0.857000,0.856000,0.936600,-0.079600
23,60,0.60,3,0.857000,0.856000,0.936600,-0.079600
23,70,0.70,1,1.242000,1.244333,1.109343,0.132657
23,70,0.70,2,1.244000,1.244333,1.109343,0.134657
23,70,0.70,3,1.247000,1.244333,1.109343,0.137657
30,0,0.00,1,0.000000,0.000000,-0.008829,0.008829
30,0,0.00,2,0.000000,0.000000,-0.008829,0.008829
30,0,0.00,3,0.000000,0.000000,-0.008829,0.008829
30,10,0.10,1,0.208000,0.208667,0.152172,0.055828
30,10,0.10,2,0.208000,0.208667,0.152172,0.055828
30,10,0.10,3,0.210000,0.208667,0.152172,0.057828
30,25,0.25,1,0.384000,0.385333,0.418166,-0.034166
30,25,0.25,2,0.385000,0.385333,0.418166,-0.033166
30,25,0.25,3,0.387000,0.385333,0.418166,-0.031166
30,40,0.40,1,0.602000,0.603667,0.708755,-0.106755
30,40,0.40,2,0.604000,0.603667,0.708755,-0.104755
30,40,0.40,3,0.605000,0.603667,0.708755,-0.103755
30,50,0.50,1,1.013000,1.014667,0.913479,0.099521
30,50,0.50,2,1.014000,1.014667,0.913479,0.100521
30,50,0.50,3,1.017000,1.014667,0.913479,0.103521
30,60,0.60,1,1.153000,1.154667,1.125135,0.027865
30,60,0.60,2,1.155000,1.154667,1.125135,0.029865
30,60,0.60,3,1.156000,1.154667,1.125135,0.030865
30,70,0.70,1,1.332000,1.334667,1.342126,-0.010126
30,70,0.70,2,1.335000,1.334667,1.342126,-0.007126
30,70,0.70,3,1.337000,1.334667,1.342126,-0.005126
45,0,0.00,1,0.000000,0.000000,-0.047086,0.047086
45,0,0.00,2,0.000000,0.000000,-0.047086,0.047086
45,0,0.00,3,0.000000,0.000000,-0.047086,0.047086
45,10,0.10,1,0.102000,0.102000,0.047243,0.054757
45,10,0.10,2,0.101000,0.102000,0.047243,0.053757
45,10,0.10,3,0.103000,0.102000,0.047243,0.055757
45,25,0.25,1,0.261000,0.262333,0.218479,0.042521
45,25,0.25,2,0.263000,0.262333,0.218479,0.044521
45,25,0.25,3,0.263000,0.262333,0.218479,0.044521
45,40,0.40,1,0.322000,0.323333,0.420611,-0.098611
45,40,0.40,2,0.323000,0.323333,0.420611,-0.097611
45,40,0.40,3,0.325000,0.323333,0.420611,-0.095611
45,50,0.50,1,0.597000,0.598667,0.569865,0.027135
