Experimental Design Matrix for Cubic RSM,,,,,,,
,,,,,,,
Temperature (°C),RH (%),Water activity (Aw),Replicate,Observed WU (g/g),Condition mean WU (g/g),Predicted WU (g/g),Residual
17,0,0.00,1,0.018000,0.025000,0.036896,-0.018896
17,0,0.00,2,0.037000,0.025000,0.036896,0.000104
17,0,0.00,3,0.020000,0.025000,0.036896,-0.016896
17,10,0.10,1,0.124000,0.124667,0.082230,0.041770
17,10,0.10,2,0.123000,0.124667,0.082230,0.040770
17,10,0.10,3,0.127000,0.124667,0.082230,0.044770
17,25,0.25,1,0.240000,0.244000,0.187097,0.052903
17,25,0.25,2,0.243000,0.244000,0.187097,0.055903
17,25,0.25,3,0.249000,0.244000,0.187097,0.061903
17,40,0.40,1,0.349000,0.352333,0.321474,0.027526
17,40,0.40,2,0.353000,0.352333,0.321474,0.031526
17,40,0.40,3,0.355000,0.352333,0.321474,0.033526
17,50,0.50,1,0.411000,0.412333,0.419269,-0.008269
17,50,0.50,2,0.408000,0.412333,0.419269,-0.011269
17,50,0.50,3,0.418000,0.412333,0.419269,-0.001269
17,60,0.60,1,0.496000,0.495333,0.517904,-0.021904
17,60,0.60,2,0.491000,0.495333,0.517904,-0.026904
17,60,0.60,3,0.499000,0.495333,0.517904,-0.018904
17,70,0.70,1,0.528000,0.527333,0.612470,-0.084470
17,70,0.70,2,0.520000,0.527333,0.612470,-0.092470
17,70,0.70,3,0.534000,0.527333,0.612470,-0.078470
23,0,0.00,1,0.012000,0.024667,0.065862,-0.053862
23,0,0.00,2,0.028000,0.024667,0.065862,-0.037862
23,0,0.00,3,0.034000,0.024667,0.065862,-0.031862
23,10,0.10,1,0.151000,0.150333,0.176782,-0.025782
23,10,0.10,2,0.148000,0.150333,0.176782,-0.028782
23,10,0.10,3,0.152000,0.150333,0.176782,-0.024782
23,25,0.25,1,0.332000,0.333667,0.382361,-0.050361
23,25,0.25,2,0.330000,0.333667,0.382361,-0.052361
23,25,0.25,3,0.339000,0.333667,0.382361,-0.043361
23,40,0.40,1,0.551000,0.552667,0.620249,-0.069249
23,40,0.40,2,0.557000,0.552667,0.620249,-0.063249
23,40,0.40,3,0.550000,0.552667,0.620249,-0.070249
23,50,0.50,1,0.804000,0.809667,0.788607,0.015393
23,50,0.50,2,0.817000,0.809667,0.788607,0.028393
23,50,0.50,3,0.808000,0.809667,0.788607,0.019393
23,60,0.60,1,0.984000,0.988667,0.959050,0.024950
23,60,0.60,2,0.987000,0.988667,0.959050,0.027950
23,60,0.60,3,0.995000,0.988667,0.959050,0.035950
23,70,0.70,1,1.242000,1.249333,1.126666,0.115334
23,70,0.70,2,1.249000,1.249333,1.126666,0.122334
23,70,0.70,3,1.257000,1.249333,1.126666,0.130334
30,0,0.00,1,0.017000,0.022333,0.014374,0.002626
30,0,0.00,2,0.019000,0.022333,0.014374,0.004626
30,0,0.00,3,0.031000,0.022333,0.014374,0.016626
