,,,,,,,
,Source,SS,DF,MS,F,Notes,
,Cubic model,13.502165,9,1.500241,298.3458,Overall model,
,Residual,0.47771,95,0.005029,-,,
,Lack of fit,0.477498,25,0.0191,6286.8016,Compared with pure error,
,Pure error,0.000213,70,0.00000304,-,Within-condition replicate variability,
,Total,13.979875,104,-,-,,
,,,,,,,
,,,,,,,
Model statistic,,,Value,,,,
R?,,,0.965829,,,,
Adjusted R?,,,0.962591,,,,
Residual RMSE (g/g),,,0.070912,,,,
Independent conditions,,,35,,,,
Replicates per condition,,,3,,,,
Total observations,,,105,,,,
,,,,,,,
,,,,,,,
Polynomial contribution,,SS,DF,MS,Partial F,Interpretation,
Linear,,10.077751,2,5.038876,1002.0577,Added to intercept-only model,
Quadratic,,2.162636,3,0.720879,143.3577,Added to linear model,
Cubic,,1.261778,4,0.315445,62.731,Added to quadratic model,
,,,,,,,
